date,lat,lon,zona,dist_puerto_km,persistencia,grupo_dia,puntaje,nivel,razones
2025-10-13,-33.41,-72.02999877929688,ZEE_interior,42.5,1,12,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (42.5 km): +15 | opera en grupo (12 oscuros ese día): +10"
2025-10-20,-33.11,-72.23999786376953,ZEE_interior,57.5,1,19,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (57.5 km): +15 | opera en grupo (19 oscuros ese día): +10"
2025-10-20,-33.73,-72.26000213623047,ZEE_interior,61.5,1,19,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (61.5 km): +15 | opera en grupo (19 oscuros ese día): +10"
2025-10-20,-33.68,-72.31999969482422,ZEE_interior,65.8,1,19,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (65.8 km): +15 | opera en grupo (19 oscuros ese día): +10"
2025-10-06,-32.01,-71.94999694824219,ZEE_interior,93.3,1,6,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (93.3 km): +15 | opera en grupo (6 oscuros ese día): +10"
2025-10-30,-33.44,-71.93000030517578,ZEE_interior,32.7,1,7,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (32.7 km): +15 | opera en grupo (7 oscuros ese día): +10"
2025-10-13,-33.29,-71.87000274658203,ZEE_interior,36.5,1,12,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (36.5 km): +15 | opera en grupo (12 oscuros ese día): +10"
2025-10-06,-33.36,-71.91999816894531,ZEE_interior,37.1,1,6,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (37.1 km): +15 | opera en grupo (6 oscuros ese día): +10"
2025-10-20,-32.16,-72.0199966430664,ZEE_interior,81.9,1,19,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (81.9 km): +15 | opera en grupo (19 oscuros ese día): +10"
2025-10-13,-33.34,-72.05999755859375,ZEE_interior,48.8,1,12,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (48.8 km): +15 | opera en grupo (12 oscuros ese día): +10"
2025-10-13,-33.39,-71.9000015258789,ZEE_interior,33.5,1,12,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (33.5 km): +15 | opera en grupo (12 oscuros ese día): +10"
2025-10-18,-33.49,-72.30000305175781,ZEE_interior,63.8,1,8,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (63.8 km): +15 | opera en grupo (8 oscuros ese día): +10"
2025-10-30,-33.45,-71.97000122070312,ZEE_interior,35.5,1,7,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (35.5 km): +15 | opera en grupo (7 oscuros ese día): +10"
2025-10-20,-32.81,-72.43000030517578,ZEE_interior,78.6,1,19,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (78.6 km): +15 | opera en grupo (19 oscuros ese día): +10"
2025-10-20,-33.72,-72.30000305175781,ZEE_interior,64.8,1,19,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (64.8 km): +15 | opera en grupo (19 oscuros ese día): +10"
2025-10-20,-32.12,-71.95999908447266,ZEE_interior,82.8,1,19,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (82.8 km): +15 | opera en grupo (19 oscuros ese día): +10"
2025-10-20,-32.53,-71.94000244140625,ZEE_interior,46.8,1,19,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (46.8 km): +15 | opera en grupo (19 oscuros ese día): +10"
2025-10-20,-32.25,-72.23999786376953,ZEE_interior,88.2,1,19,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (88.2 km): +15 | opera en grupo (19 oscuros ese día): +10"
2025-10-13,-33.53,-72.12000274658203,ZEE_interior,46.7,1,12,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (46.7 km): +15 | opera en grupo (12 oscuros ese día): +10"
2025-10-13,-33.46,-71.95999908447266,ZEE_interior,34.2,1,12,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (34.2 km): +15 | opera en grupo (12 oscuros ese día): +10"
2025-10-08,-33.54,-72.08000183105469,ZEE_interior,42.9,1,10,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (42.9 km): +15 | opera en grupo (10 oscuros ese día): +10"
2025-10-30,-33.58,-72.31999969482422,ZEE_interior,64.8,1,7,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (64.8 km): +15 | opera en grupo (7 oscuros ese día): +10"
2025-10-13,-33.49,-72.0,ZEE_interior,36.6,1,12,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (36.6 km): +15 | opera en grupo (12 oscuros ese día): +10"
2025-10-01,-33.67,-72.06999969482422,ZEE_interior,42.9,1,1,70,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (42.9 km): +15"
2025-10-13,-33.52,-71.7300033569336,ZEE_interior,12.2,1,12,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (12 oscuros ese día): +10"
2025-10-06,-33.73,-71.87999725341797,ZEE_interior,29.3,1,6,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (6 oscuros ese día): +10"
2025-10-08,-32.94,-71.7300033569336,ZEE_interior,13.7,1,10,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (10 oscuros ese día): +10"
2025-10-20,-33.63,-71.93000030517578,ZEE_interior,29.2,1,19,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (19 oscuros ese día): +10"
2025-10-18,-32.55,-71.70999908447266,ZEE_interior,29.7,1,8,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (8 oscuros ese día): +10"
2025-10-08,-33.02,-71.80999755859375,ZEE_interior,16.8,1,10,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (10 oscuros ese día): +10"
2025-10-20,-33.22,-71.83999633789062,ZEE_interior,28.8,1,19,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (19 oscuros ese día): +10"
2025-10-08,-33.44,-71.83000183105469,ZEE_interior,24.9,1,10,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (10 oscuros ese día): +10"
2025-10-30,-33.46,-71.86000061035156,ZEE_interior,25.9,1,7,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (7 oscuros ese día): +10"
2025-10-25,-33.56,-71.83000183105469,ZEE_interior,19.6,1,1,55,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25"
2025-10-30,-32.49,-71.6500015258789,dentro_5_millas,33.1,1,7,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | lejos de puerto (33.1 km): +15 | opera en grupo (7 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
2025-10-20,-32.76,-71.51000213623047,dentro_5_millas,2.2,1,19,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa"
