date,detections,flag,gear_type,hours,vessel_ids,vessel_id,vessel_type,entry_timestamp,exit_timestamp,first_transmission_date,last_transmission_date,imo,mmsi,call_sign,dataset,report_dataset,ship_name,lat,lon
2024-10-25,1,CHL,OTHER,,,178348e92-22ac-be53-c65e-0dc7e903b6ab,OTHER,2024-10-25 23:28:53+00:00,2024-10-25 23:28:53+00:00,2020-05-01 19:29:33+00:00,2026-07-24 23:59:39+00:00,9254812,725003628,CBEO,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,CULPEO,-32.75,-71.5199966430664
2024-10-30,1,MHL,CARGO,,,5600cbad8-8ed4-a839-c1d9-27f5233fc0e6,CARGO,2024-10-30 23:36:39+00:00,2024-10-30 23:36:39+00:00,2023-07-15 07:10:24+00:00,2026-07-24 23:59:01+00:00,9964352,538010730,V7A7334,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,MAGELLAN ETERNITY,-33.63,-71.69000244140625
2024-10-18,1,BHS,CARGO,,,66d7c9c33-3a49-a831-e5c6-f82f01e9546a,CARGO,2024-10-18 23:36:39+00:00,2024-10-18 23:36:39+00:00,2023-08-22 05:59:58+00:00,2026-07-24 23:58:07+00:00,9659751,311001374,C6GW5,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,AMERICA PEARL,-33.37,-72.12999725341797
2024-10-30,1,CHL,CARGO,,,d0e22a521-13ef-d46e-e27e-33b03a54ca3f,CARGO,2024-10-30 23:36:39+00:00,2024-10-30 23:36:39+00:00,2012-01-01 04:30:08+00:00,2026-07-24 23:59:52+00:00,9191632,725017700,CBCC,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,CONDOR,-33.7,-71.94999694824219
2024-10-30,1,MLT,CARGO,,,68faba76d-d2cb-97e8-05f7-0edc4c7a3264,CARGO,2024-10-30 23:36:39+00:00,2024-10-30 23:36:39+00:00,2018-09-25 08:45:01+00:00,2026-07-24 23:59:23+00:00,9375288,248910000,9HA4856,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,TOREADOR,-33.55,-71.68000030517578
2024-10-30,1,SGP,CARGO,,,77da3d649-98af-1779-6754-1bbc746db9ec,CARGO,2024-10-25 23:28:28+00:00,2024-10-30 23:36:39+00:00,2023-04-17 15:25:25+00:00,2026-07-24 23:07:25+00:00,9605023,563189200,9V8915,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,PROPEL GRACE,-33.64,-71.69999694824219
2024-10-18,1,,,,,734e1d0e9-9fda-9df1-866a-f04e4cde8022,,2024-10-18 23:36:39+00:00,2024-10-25 23:28:28+00:00,,,,,,,public-global-sar-presence:v4.0,,-33.6,-71.66999816894531
2024-10-18,1,PAN,OTHER,,,c44687519-93bd-3a3e-a0c5-c0080dc7bda2,OTHER,2024-10-18 23:36:39+00:00,2024-10-25 23:28:28+00:00,2018-08-09 02:45:18+00:00,2026-07-24 23:38:41+00:00,9780990,371951000,3FAI,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,AMIS POWER,-33.61,-71.66999816894531
2024-10-18,1,PAN,CARGO,,,781a031b3-3a64-649d-e8ca-f77502d2e77f,CARGO,2024-10-18 23:36:39+00:00,2024-10-18 23:36:39+00:00,2012-01-01 01:00:00+00:00,2025-12-10 08:20:37+00:00,9448217,371011000,3EVT8,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,ULTRA COLONSAY,-33.63,-71.69000244140625
2024-10-25,1,,,,,,,2024-10-18 23:36:39+00:00,2024-10-30 23:36:39+00:00,,,,,,,public-global-sar-presence:v4.0,,-33.01,-71.58000183105469
2024-10-25,1,,,,,734e1d0e9-9fda-9df1-866a-f04e4cde8022,,2024-10-18 23:36:39+00:00,2024-10-25 23:28:28+00:00,,,,,,,public-global-sar-presence:v4.0,,-33.6,-71.66000366210938
2024-10-18,1,CHL,OTHER,,,5c54ae017-76df-d0ac-f981-e2dba0d997db,OTHER,2024-10-18 23:36:39+00:00,2024-10-18 23:36:39+00:00,2023-12-11 12:27:36+00:00,2026-07-24 18:26:16+00:00,,725001911,CB6191,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,TAYLOR  BATRO,-33.58,-71.6500015258789
2024-10-25,1,PRT,OTHER,,,91b367cce-eef0-cffe-4b10-ec1bca9264bd,OTHER,2024-10-18 23:36:39+00:00,2024-10-30 23:36:39+00:00,2022-01-06 07:30:54+00:00,2026-07-24 23:39:16+00:00,9726566,255801360,CQNF,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,ATALANTA,-33.6,-71.68000030517578
2024-10-18,1,PAN,CARGO,,,cdffe4fd9-9028-ec3c-0c16-86526155c9b4,CARGO,2024-10-18 23:36:39+00:00,2024-10-18 23:36:39+00:00,2020-01-08 02:44:04+00:00,2026-07-24 23:57:36+00:00,9883508,356398000,3FMI8,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,PACIFIC WIND,-33.51,-72.08999633789062
2024-10-25,1,CHL,OTHER,,,0036577bb-bb6b-238d-431c-7f9576e611c1,OTHER,2024-10-25 23:28:53+00:00,2024-10-25 23:28:53+00:00,2015-04-27 14:27:36+00:00,2026-07-24 23:20:26+00:00,9629718,725001411,CBAZ,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,ANTOFAGASTA,-32.76,-71.52999877929688
2024-10-18,1,CYM,OTHER,,,842034349-9428-4d19-5ad8-60b4deaf7486,OTHER,2024-10-18 23:36:39+00:00,2024-10-18 23:36:39+00:00,2021-03-23 11:25:58+00:00,2026-07-24 23:59:09+00:00,9523378,319210400,ZGOJ7,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,FALKOR (TOO),-33.52,-71.93000030517578
2024-10-25,1,ATG,CARGO,,,55eab814e-e60a-6015-a99f-9f643b180731,CARGO,2024-10-25 23:28:28+00:00,2024-10-25 23:28:28+00:00,2022-03-02 01:48:15+00:00,2026-07-24 23:59:50+00:00,9811995,305806000,V2HM3,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,BBC MANILA,-33.61,-71.66000366210938
2024-10-25,1,PAN,OTHER,,,c44687519-93bd-3a3e-a0c5-c0080dc7bda2,OTHER,2024-10-18 23:36:39+00:00,2024-10-25 23:28:28+00:00,2018-08-09 02:45:18+00:00,2026-07-24 23:38:41+00:00,9780990,371951000,3FAI,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,AMIS POWER,-33.61,-71.66999816894531
2024-10-25,1,MHL,OTHER,,,5bd313cd6-61d7-20da-e425-9c5c2d6fd91a,OTHER,2024-10-25 23:28:53+00:00,2024-10-25 23:28:53+00:00,2012-01-01 02:57:42+00:00,2026-07-24 23:59:56+00:00,9573892,538003890,V7TV3,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,MAR CAMINO,-32.1,-71.7300033569336
2024-10-30,1,CHL,CARGO,,,195b8492a-aaa1-6491-4a83-cb9db4ef58fe,CARGO,2024-10-25 23:28:28+00:00,2024-10-30 23:36:39+00:00,2012-01-02 16:30:12+00:00,2026-07-24 23:43:53+00:00,9580132,725019110,CBTQ,public-global-vessel-identity:v4.0,public-global-sar-presence:v4.0,SPL TARAPACA,-33.61,-71.68000030517578
